306 trials, model=haiku, concurrency=8
[1/306] off/inclusive-payment-threshold/r0 -> proceed (49.4s)
[2/306] off/oracle-staleness-boundary/r0 -> proceed (93.0s)
[3/306] off/token-decimal-domain/r0 -> halt (55.0s)
[4/306] off/retry-cardinality/r0 -> proceed (133.4s)
[5/306] off/refund-recipient-control/r0 -> proceed (100.9s)
[6/306] off/signer-threshold-control/r0 -> proceed (56.8s)
[7/306] off/inclusive-payment-threshold/r1 -> proceed (62.4s)
[8/306] off/oracle-staleness-boundary/r1 -> proceed (75.0s)
[9/306] off/token-decimal-domain/r1 -> halt (358.9s)
[10/306] off/retry-cardinality/r1 -> proceed (96.2s)
[11/306] off/refund-recipient-control/r1 -> proceed (119.7s)
[12/306] off/signer-threshold-control/r1 -> proceed (58.9s)
[13/306] off/inclusive-payment-threshold/r2 -> proceed (53.0s)
[14/306] off/oracle-staleness-boundary/r2 -> proceed (47.0s)
[15/306] off/token-decimal-domain/r2 -> halt (50.1s)
[16/306] off/retry-cardinality/r2 -> proceed (97.9s)
[17/306] off/refund-recipient-control/r2 -> halt (76.7s)
[18/306] off/signer-threshold-control/r2 -> halt (90.8s)
[19/306] off/inclusive-payment-threshold/r3 -> proceed (108.3s)
[20/306] off/oracle-staleness-boundary/r3 -> proceed (46.9s)
[21/306] off/token-decimal-domain/r3 -> halt (355.8s)
[22/306] off/retry-cardinality/r3 -> proceed (59.0s)
[23/306] off/refund-recipient-control/r3 -> proceed (73.7s)
[24/306] off/signer-threshold-control/r3 -> proceed (83.2s)
[25/306] off/inclusive-payment-threshold/r4 -> proceed (57.7s)
[26/306] off/oracle-staleness-boundary/r4 -> proceed (92.3s)
[27/306] off/token-decimal-domain/r4 -> halt (76.9s)
[28/306] off/retry-cardinality/r4 -> proceed (100.9s)
[29/306] off/refund-recipient-control/r4 -> proceed (93.4s)
[30/306] off/signer-threshold-control/r4 -> proceed (63.5s)
[31/306] off/inclusive-payment-threshold/r5 -> proceed (47.4s)
[32/306] off/oracle-staleness-boundary/r5 -> proceed (62.3s)
[33/306] off/token-decimal-domain/r5 -> halt (68.8s)
[34/306] off/retry-cardinality/r5 -> proceed (66.2s)
[35/306] off/refund-recipient-control/r5 -> proceed (79.4s)
[36/306] off/signer-threshold-control/r5 -> proceed (62.6s)
[37/306] off/inclusive-payment-threshold/r6 -> proceed (57.0s)
[38/306] off/oracle-staleness-boundary/r6 -> halt (663.8s)
[39/306] off/token-decimal-domain/r6 -> halt (54.9s)
[40/306] off/retry-cardinality/r6 -> halt (356.3s)
[41/306] off/refund-recipient-control/r6 -> proceed (62.5s)
[42/306] off/signer-threshold-control/r6 -> proceed (59.9s)
[43/306] off/inclusive-payment-threshold/r7 -> proceed (60.0s)
[44/306] off/oracle-staleness-boundary/r7 -> proceed (56.9s)
[45/306] off/token-decimal-domain/r7 -> halt (55.5s)
[46/306] off/retry-cardinality/r7 -> proceed (66.5s)
[47/306] off/refund-recipient-control/r7 -> proceed (88.0s)
[48/306] off/signer-threshold-control/r7 -> halt (108.7s)
[49/306] off/inclusive-payment-threshold/r8 -> proceed (45.7s)
[50/306] off/oracle-staleness-boundary/r8 -> proceed (54.0s)
[51/306] off/token-decimal-domain/r8 -> halt (62.6s)
[52/306] off/retry-cardinality/r8 -> proceed (63.8s)
[53/306] off/refund-recipient-control/r8 -> proceed (87.2s)
[54/306] off/signer-threshold-control/r8 -> proceed (63.0s)
[55/306] off/inclusive-payment-threshold/r9 -> proceed (342.4s)
[56/306] off/oracle-staleness-boundary/r9 -> proceed (65.5s)
[57/306] off/token-decimal-domain/r9 -> halt (86.2s)
[58/306] off/retry-cardinality/r9 -> proceed (55.3s)
[59/306] off/refund-recipient-control/r9 -> proceed (73.4s)
[60/306] off/signer-threshold-control/r9 -> proceed (286.9s)
[61/306] off/inclusive-payment-threshold/r10 -> proceed (63.6s)
[62/306] off/oracle-staleness-boundary/r10 -> proceed (344.0s)
[63/306] off/token-decimal-domain/r10 -> halt (63.0s)
[64/306] off/retry-cardinality/r10 -> proceed (92.1s)
[65/306] off/refund-recipient-control/r10 -> proceed (82.3s)
[66/306] off/signer-threshold-control/r10 -> proceed (56.3s)
[67/306] off/inclusive-payment-threshold/r11 -> proceed (55.7s)
[68/306] off/oracle-staleness-boundary/r11 -> proceed (84.5s)
[69/306] off/token-decimal-domain/r11 -> halt (82.0s)
[70/306] off/retry-cardinality/r11 -> proceed (58.3s)
[71/306] off/refund-recipient-control/r11 -> halt (109.8s)
[72/306] off/signer-threshold-control/r11 -> proceed (64.3s)
[73/306] off/inclusive-payment-threshold/r12 -> proceed (59.3s)
[74/306] off/oracle-staleness-boundary/r12 -> proceed (55.6s)
[75/306] off/token-decimal-domain/r12 -> halt (52.7s)
[76/306] off/retry-cardinality/r12 -> proceed (75.4s)
[77/306] off/refund-recipient-control/r12 -> proceed (91.3s)
[78/306] off/signer-threshold-control/r12 -> proceed (57.2s)
[79/306] off/inclusive-payment-threshold/r13 -> proceed (56.8s)
[80/306] off/oracle-staleness-boundary/r13 -> proceed (57.5s)
[81/306] off/token-decimal-domain/r13 -> halt (59.3s)
[82/306] off/retry-cardinality/r13 -> proceed (64.1s)
